"","mean","sd","2.5%","97.5%","n_eff","Rhat4","LOS_l","LOS_u"
"Intercept_survG",1.71597881412968,0.368776990571792,1.34056307317553,2.70181534654871,4223.00996574316,0.999810751472748,100,0
"b_NK_survG",0.325272301544191,0.621214364266236,-0.860758005625742,1.58486413202585,5649.97233940945,0.999579407156838,69.283,30.717
"b_z_survG",0.059778887818109,0.0171099191473757,0.0406425800028373,0.103770546124678,8256.71280394693,0.999912815030212,100,0
"b_zNK_survG",0.0097065365889965,0.0468022887037612,-0.0814085066039514,0.102213745055995,12622.2623614039,0.999591010773874,57.717,42.283
"b_area_survG",0.528177886271737,1.43714148018171,-2.35669467654601,3.25976658169097,2813.95492945275,1.00006123263023,65.733,34.267
"b_canopy_survG",-0.460269686994359,1.45310067340872,-3.38999734072699,2.25520091587398,2992.24560997074,0.999935896258812,38.533,61.467
"b_areaNK_survG",-1.04701652036745,2.02795970713181,-5.06050391930166,2.94265217541574,2965.61097446401,1.00013186129857,29.05,70.95
"b_canopyNK_survG",0.924616517611549,1.30096065589541,-1.51468593327221,3.56914544153327,4843.83742086732,0.999485159332678,75.367,24.633
"v_Intercept_survG[1]",-1.84896766229945,0.540063536911781,-3.07455328300481,-0.961979733744785,3908.94123793334,0.999762927875458,0,100
"v_Intercept_survG[2]",-0.125528956350907,1.07891650994925,-2.29166284488088,2.00441125213719,3429.49469325384,1.00015069510732,45.467,54.533
"v_Intercept_survG[3]",-0.154528662724353,0.727200421960175,-1.65665602578624,1.15454835736013,2916.89939207634,1.00009372784895,43.1,56.9
"v_Intercept_survG[4]",-1.28756195462945,0.697230497696591,-2.75402565554163,0.00744285787958675,4067.46482761594,0.99969718644912,2.633,97.367
"sigma_stream_G",1.22449900572076,0.377371816896062,0.693999044657692,2.14263496058154,3213.65912165862,1.00100064613177,100,0
"Intercept_growG",18.7950434158755,0.905455178173977,16.9206624012962,20.5854535854257,3372.81459380494,1.00110537896964,100,0
"b_NK_growG",0.0516961254529226,0.518262015149429,-0.941658713238654,1.08329922743538,4402.95554529925,1.00092548576501,53.55,46.45
"b_z_growG",0.724519485979903,0.0235415812153461,0.677419367369727,0.770965239488255,8484.21625328569,1.00075924402886,100,0
"b_zNK_growG",-0.0208362721303506,0.0324161448408136,-0.0827575280493095,0.0421492000501888,8704.67208474009,1.00021389134518,26.183,73.817
"v_Intercept_growG[1]",1.01235711341317,0.991065036649461,-0.882027685428368,3.07858491871248,3252.33422903499,1.00116873192475,86.233,13.767
"v_Intercept_growG[2]",0.905165607256734,0.999084515788193,-1.09402477257329,2.82713991343839,3940.42223960621,0.999704732079849,82.65,17.35
"v_Intercept_growG[3]",-1.35259196019362,0.683344681641667,-2.72997146313013,-0.0183413793662918,4355.69574949436,0.999763849015164,2.333,97.667
"v_Intercept_growG[4]",-0.599061945945424,0.736406742654047,-2.04501782756477,0.833640249392713,3940.13878171525,1.00078159442503,19.083,80.917
"sigma_growG",0.998744009878462,0.0480134472787109,0.910127315007828,1.10206476616695,12076.5035592029,0.999618402147744,100,0
"b_area_growG",-1.81099379601148,1.51546599185039,-4.90939373564999,1.11197519705614,3031.7250277061,1.00099760153782,11.1,88.9
"b_canopy_growG",-2.01987193623484,1.29065790393037,-4.62834323935981,0.466534687090085,3316.79239596541,1.00087878309354,5.183,94.817
"b_areaNK_growG",2.99844555669712,2.26479753236253,-1.35503323392243,7.6246525545964,2941.97871049467,1.00111611250843,90.967,9.033
"b_canopyNK_growG",0.237655794723685,0.751226641034474,-1.23464509071388,1.69546073526526,9062.87120994668,0.999725235163269,62.683,37.317
"Intercept_recrG",1.05839538053727,0.302939158581007,0.631142759018449,1.70809150056733,5093.11466382074,0.999560533485352,100,0
"b_NK_recrG",0.0096869607050669,0.438715341550259,-0.834022114655818,0.889267200055003,3571.47565162166,1.00005329350432,50.067,49.933
"b_z_recrG",0.0599901010577454,0.0237331870474796,0.0127740806273235,0.106268866874459,8109.01310928032,0.999399627250698,99.533,0.466999999999999
"b_zNK_recrG",0.0381834892587549,0.0274385599073979,-0.0157426451477911,0.0913863505239258,7698.21253959161,0.99964236982444,92.067,7.93300000000001
"v_Intercept_recrG[1]",0.0127619292589369,0.398340600323337,-0.834246818091282,0.692586302926041,4037.32342366049,0.999699386635756,54.933,45.067
"v_Intercept_recrG[2]",0.30233443610098,0.982217494116079,-1.6148611040328,2.33496314650398,2822.97485016706,1.00052391111139,62.7,37.3
"v_Intercept_recrG[3]",-0.661549181957055,0.551124496949601,-1.7377972277129,0.449768367392192,3092.00881265826,1.0004182981849,10.833,89.167
"v_Intercept_recrG[4]",0.346252711864288,0.384295695704818,-0.419323581014373,1.06267434918855,4082.05355482279,1.00005812978019,81.583,18.417
"b_area_recrG",-0.500545922734139,1.11411728569614,-2.68034031134407,1.69908472032968,2831.10411146691,1.00050559312391,31.533,68.467
"b_canopy_recrG",-0.454286286754746,0.916583793242362,-2.22020537002465,1.33045418545798,3189.52261077526,1.00037611793946,30.75,69.25
"b_areaNK_recrG",0.943172570433029,1.72823660363245,-2.55739621733683,4.2964774649001,2755.86871904519,1.00046775693943,71.967,28.033
"b_canopyNK_recrG",0.253416775398992,0.614991355275849,-0.923340817794182,1.46884955712598,7290.51450595754,0.999525184746617,66.6,33.4
"Intercept_survK",1.91682934838214,0.453531142412756,1.40421605986638,3.06094727850693,4633.17509616246,1.00053910266764,100,0
"b_NG_survK",0.404765573963294,0.811432135750454,-1.20026407391478,1.99063265390705,2961.06444227483,1.00115711539698,69.433,30.567
"b_z_survK",0.0084685942330545,0.0102582409913825,-0.0113514935279602,0.0286162171555032,9614.35539815581,0.999664461542848,79.5,20.5
"b_zNG_survK",-0.00680892536164094,0.0184123433812546,-0.0431089238502361,0.0297722325076977,9390.56634224756,0.999703532179615,35.55,64.45
