parameter,median,l99,l95,l68,u68,u95,u99,pp0,pp1,Species,
lam_GR,1.321,0.42,0.68,0.998,1.628,2.04,2.606,100.0,85.8,Guppy,0
lam_NR,1.061,0.416,0.605,0.816,1.279,1.561,2.023,100.0,60.1,Guppy,0
delta_lam,-0.247,-1.239,-0.785,-0.456,0.009,0.2,0.391,12.5,0.0,Guppy,87.5166666666667
grow_con,0.027,-0.012,0,0.011,0.042,0.063,0.084,98.3,0.0,Guppy,1.7
fec_con,-0.046,-0.758,-0.358,-0.136,0.061,0.147,0.251,29.5,0.0,Guppy,70.4833333333333
rcz_con,0,0,0,0,0,0,0,0.0,0.0,Guppy,100
sur_con,-0.224,-0.945,-0.67,-0.43,-0.034,0.148,0.359,12.0,0.0,Guppy,88.0333333333333
lam_GR,1.433,0.933,0.969,1.123,1.71,1.928,2.188,100.0,97.9,Kilifish,0
lam_NG,1.46,0.784,0.94,1.047,1.69,2.613,4.529,100.0,98.8,Kilifish,0
delta_lam,0.074,-1.021,-0.705,-0.322,0.372,1.119,2.976,59.9,5.1,Kilifish,40.1333333333333
grow_con,0.01,-0.049,-0.019,-0.004,0.026,0.058,0.11,78.8,0.0,Kilifish,21.2
fec_con,0.046,-2.592,-1.649,-0.738,0.69,2.971,12.196,53.4,14.7,Kilifish,46.5666666666667
rcz_con,0,0,0,0,0,0,0,0.0,0.0,Kilifish,100
sur_con,0.051,-0.328,-0.123,-0.01,0.13,0.211,0.309,77.1,0.0,Kilifish,22.95
