Population,AA,Area (m2),Water (m3),Canopy (%),Guppy biomass (gr),Killifish Biomass (gr),Biomass ratio (K/G)
CAI,GR,15.74,2.24,25,13.19,19.44,1.47
CAI,NG,17.55,1.9,29.7,4.35,30.62,7.04
CAI,NR,17.22,3.04,30.2,11.1,16.29,1.47
NAR,GR,5.58,0.84,35.4,8.85,23.29,2.63
NAR,NG,9.55,1.5,33.1,17.67,18.13,1.03
NAR,NR,18.35,3.8,24.8,3.45,30.78,8.91
QUA,GR,12.61,2.51,26.1,4.91,43.65,8.9
QUA,NG,15.2,3.5,21.9,6.3,63.42,10.07
QUA,NR,16.07,2.29,25.5,7.08,31.86,4.5
QUA2,GR,13.19,1.93,27.1,3.41,16.11,4.73
QUA2,NG,11.75,2.17,36.9,2.68,33.13,12.35
QUA2,NR,9.14,2.56,20.9,3.45,9.76,2.83
,,3.92619283167742,0.820192143046464,5.0919722915764,4.67628316533807,14.6453759379415,3.84693610867693
,,13.4958333333333,2.35666666666667,28.05,7.20333333333333,28.04,5.49416666666667
