"","Intercept_survG","b_NK_survG","b_z_survG","b_zNK_survG","v_Intercept_survG.1","v_Intercept_survG.2","v_Intercept_survG.3","v_Intercept_survG.4","sigma_stream_G","Intercept_growG","b_NK_growG","b_z_growG","b_zNK_growG","v_Intercept_growG.1","v_Intercept_growG.2","v_Intercept_growG.3","v_Intercept_growG.4","sigma_growG","Intercept_recrG","b_NK_recrG","b_z_recrG","b_zNK_recrG","v_Intercept_recrG.1","v_Intercept_recrG.2","v_Intercept_recrG.3","v_Intercept_recrG.4","Intercept_survK","b_NG_survK","b_z_survK","b_zNG_survK","v_Intercept_survK.1","v_Intercept_survK.2","v_Intercept_survK.3","v_Intercept_survK.4","sigma_stream_K","Intercept_growK","b_NG_growK","b_z_growK","b_z2_growK","b_zNG_growK","v_Intercept_growK.1","v_Intercept_growK.2","v_Intercept_growK.3","v_Intercept_growK.4","sigma_growK","Intercept_recrK","b_NG_recrK","b_z_recrK","b_zNG_recrK","v_Intercept_recrK.1","v_Intercept_recrK.2","v_Intercept_recrK.3","v_Intercept_recrK.4","lp__"
"1",1.01041,-0.48431,-0.00607123,0.0470723,-0.766525,-0.808911,0.586669,-0.999245,0.80769,20.2762,0.640863,0.705453,-0.0194517,-0.5942,0.653916,-1.76365,-1.38276,1.06002,1.22254,0.228094,0.10835,0.0902261,-0.764345,-0.580673,-0.763937,-0.781819,3.23208,-1.15604,0.00727722,0.00775142,-2.89631,-2.93434,-3.16332,-1.59356,2.99006,24.3781,-1.3944,0.741311,0.00160195,0.036765,1.24725,1.66929,-1.15845,-2.25216,1.8532,-0.846258,-1.31766,0.0827828,0.00261426,-1.1227,-1.45796,-3.27667,0.755732,-549.397
"2",0.386825,0.138091,0.00100713,0.0724753,-0.178368,-0.0705039,0.800051,0.302528,0.587466,20.0471,0.658526,0.684165,0.0186684,-0.227303,0.833942,-1.34583,-1.25746,0.978978,0.716858,0.15447,0.1138,0.0848806,-0.15501,0.0368974,-0.412485,-0.0775645,1.52224,-0.777176,-0.00277822,0.00910873,-1.17297,-1.15961,-1.154,-0.667957,1.55244,24.2927,-1.78294,0.690027,0.00193892,0.0524897,0.598171,2.38996,-0.26557,-1.68158,1.7771,-1.14566,-1.68428,0.0646419,0.021498,-0.466914,-0.465084,-2.34334,1.32735,-531.575
"3",0.885143,0.421397,-0.0307529,0.156647,-1.2162,-0.976255,0.782212,-1.20576,1.18569,20.9615,0.65066,0.721561,0.00192809,-1.16283,-0.185153,-2.32933,-2.24052,1.00144,0.892592,0.412786,0.117265,0.049571,-0.527931,-0.16452,-0.598571,-0.283085,1.6765,-0.535971,0.0104433,0.00171312,-1.77311,-1.59927,-1.9504,-0.611348,2.28984,24.9231,-0.434816,0.810604,0.00104467,0.00797333,-1.26337,0.545415,-2.79141,-3.49502,1.92648,-0.0459612,-2.00637,0.07809,0.0164682,-1.68711,-2.35885,-4.50385,-0.16664,-548.645
"4",0.922709,0.215298,-0.0697076,0.170531,-0.670925,-0.896928,-0.202978,-0.460137,0.710241,19.0609,0.492001,0.75569,-0.0959656,0.7204,1.94754,-0.343912,0.0798869,1.02587,1.13022,0.217699,0.122479,0.0685815,-0.740618,-0.401699,-0.82403,-0.452487,1.91537,-0.722965,-0.00150961,0.013349,-1.51256,-1.7254,-1.96885,-1.01757,1.69894,24.3721,-0.887264,0.6862,0.00224649,0.0137683,0.780176,2.20685,-0.946003,-2.13164,1.85839,-1.27509,-1.40943,0.0924402,-0.00195997,-1.21692,-1.93965,-3.23497,0.991421,-540.166
"5",0.705957,0.239063,0.00112995,0.102631,-0.624008,-0.502736,0.481879,0.123375,0.723927,19.1829,0.569886,0.750423,-0.013858,0.590675,1.92589,-0.457574,-0.264264,1.0132,0.699107,0.430221,0.120509,0.0666627,-0.497931,-0.317278,-0.334572,-0.254866,1.87652,-0.618007,-0.028592,0.0303329,-1.19352,-1.7159,-1.29739,-1.12616,2.26058,23.8508,-1.02639,0.735375,0.00174971,0.0347488,0.708816,2.35769,-1.54185,-1.92807,1.99845,-0.132689,-1.92248,0.0692815,0.0115741,-1.07807,-1.49662,-3.728,0.303417,-543.396
"6",0.41962,0.515818,0.0316329,0.0950437,-0.754128,-0.483762,0.696759,-0.033114,0.781875,19.675,0.611576,0.737037,-0.0619625,0.140637,1.02861,-0.994989,-1.05491,0.994057,0.804911,0.253531,0.121866,0.058967,-0.467359,0.0581993,-0.685247,0.0500998,1.44491,-0.457023,0.0100562,-0.00568732,-1.32336,-1.20922,-1.6136,-0.465019,1.53862,23.9168,-0.789774,0.73587,0.00187529,0.0214464,0.134877,2.6151,-1.65607,-2.49689,2.1683,-1.58424,-1.61514,0.0652807,0.0132972,-0.132726,-0.0944852,-1.86791,2.12411,-544.256
"7",1.1378,-0.0299996,-0.0585373,0.0549733,-0.696698,-1.01242,0.138355,-0.752156,1.02769,18.6113,0.606228,0.723841,-0.0436481,1.12243,2.23295,0.104878,0.167953,1.04509,1.35561,0.282421,0.125219,0.0598272,-0.888471,-0.651899,-0.936502,-0.821138,1.67057,-0.23021,0.00766114,-0.00251406,-1.00577,-2.16112,-1.64364,-1.20325,1.91313,25.4707,-0.865635,0.692125,0.00215239,0.0210531,-1.56815,0.101029,-2.25094,-3.8862,1.89672,-1.50662,-2.07201,0.0776182,0.0157014,-0.31577,-0.885399,-2.28697,1.42929,-541.263
"8",0.564816,0.488573,0.0392737,0.0328238,-0.551677,-0.547644,0.69121,-0.429493,0.809924,19.1872,0.428007,0.739331,-0.0573943,0.578259,1.67746,-0.411196,-0.151322,1.08968,0.894538,0.497062,0.119958,0.0686249,-0.706536,-0.270548,-0.639037,-0.282683,2.04879,-0.772621,0.00143669,-0.0178151,-0.729643,-1.09618,-1.4027,-0.940853,0.937682,23.7765,-1.37788,0.725923,0.00172437,0.032204,0.752331,2.32631,-0.897144,-0.875946,1.99973,-0.501646,-1.53279,0.0802908,0.00514083,-1.52035,-1.92151,-3.42805,0.314289,-546.905
"9",0.161088,-0.154626,-0.00769764,0.0397716,0.168354,0.254647,1.30619,0.204596,0.672336,19.1976,0.552471,0.708827,-0.0238739,0.755943,1.59098,-0.470986,-0.356796,1.01205,0.61328,0.284101,0.118377,0.0734584,-0.233667,0.0227269,-0.255545,0.0311912,1.48837,-0.70473,-0.00910917,0.00850573,-0.669757,-0.7498,-0.591441,-0.476442,1.30571,22.7862,-0.748325,0.779223,0.00136353,0.0100121,1.53909,2.78048,-0.208338,-0.930159,1.96447,-0.980902,-1.89055,0.0862874,0.0128771,-1.30167,-1.72132,-3.58482,0.694996,-535.807
"10",0.483335,-0.115511,-0.0248571,0.0458852,-0.0720171,-0.243785,1.104,0.230267,0.856387,18.9416,0.688894,0.721318,-0.0461062,0.978308,1.76917,-0.256958,-0.297148,1.0665,0.858526,0.522113,0.147993,0.0317354,-0.528558,-0.348013,-0.700325,-0.136492,1.45105,-1.03954,0.00456274,0.00957958,-0.729119,-1.59073,-1.20929,-0.86113,1.5564,21.8826,0.0663049,0.779745,0.00136284,0.00732383,2.0359,3.64072,0.440046,-0.542401,2.11923,-0.669163,-2.18868,0.0601441,0.0183848,-0.341804,-0.700314,-2.27641,1.1733,-541.745
