parameter,median,l99,l95,l68,u68,u95,u99,pp0,pp1,Species
lam_KG,1.316,0.455,0.71,0.971,1.592,2.032,2.569,100.0,85.76666666666667,Guppy
lam_NK,1.263,0.376,0.683,0.953,1.58,1.95,2.491,100.0,82.1,Guppy
delta_lam,-0.034,-1.116,-0.583,-0.263,0.215,0.493,0.882,44.1,0.06666666666666667,Guppy
sum_lam_eff,-0.034,-1.175,-0.589,-0.275,0.21,0.511,0.886,44.18333333333333,0.06666666666666667,Guppy
grow_con,0.054,0.006,0.013,0.03,0.072,0.096,0.133,99.95,0.0,Guppy
fec_con,0.063,-0.648,-0.243,-0.039,0.2,0.393,0.747,72.28333333333333,0.05,Guppy
rcz_con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guppy
sur_con,-0.149,-0.903,-0.606,-0.332,0.062,0.23,0.512,20.716666666666665,0.0,Guppy
sum_con,-0.034,-1.175,-0.589,-0.275,0.21,0.511,0.886,44.18333333333333,0.06666666666666667,Guppy
lam_GR,1.507,0.903,1.03,1.254,1.815,1.961,2.119,100.0,98.6,Kilifish
lam_NG,1.269,0.638,0.765,0.99,1.511,2.029,3.261,100.0,90.05,Kilifish
delta_lam,-0.171,-1.115,-0.84,-0.454,0.139,0.481,1.802,27.516666666666666,0.9666666666666667,Kilifish
sum_lam_eff,-0.172,-1.193,-0.867,-0.461,0.137,0.476,1.69,27.333333333333332,0.9166666666666666,Kilifish
grow_con,-0.004,-0.069,-0.034,-0.014,0.007,0.02,0.037,32.65,0.0,Kilifish
fec_con,-0.2,-2.509,-1.631,-0.8,0.288,1.291,5.472,32.7,5.533333333333333,Kilifish
rcz_con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kilifish
sur_con,-0.03,-0.536,-0.323,-0.125,0.076,0.137,0.239,36.86666666666667,0.0,Kilifish
sum_con,-0.268,-2.477,-1.668,-0.874,0.246,1.264,5.626,29.4,5.1,Kilifish
